smiles,solubility,quantile,cluster
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,48,9
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404,58,6
CCCCCC(=O)OCC,-2.35,60,12
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84,71,11
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,11,9
COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478,57,11
CCCCCCC=C,-4.44,22,2
Cc1ccc(N)cc1,-1.21,80,5
Nc1nccs1 ,-0.36,91,11
c1ccccc1(OC(=O)NC),-1.803,71,10
CCCC(O)CC,-0.8,86,7
c3ccc2c(O)c1ccccc1cc2c3 ,-4.73,18,1
Cc1ccc2cc3ccccc3cc2c1,-6.96,5,1
Cc1cccc(C)c1C,-3.2,43,5
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,59,6
CCCCCCCC(C)O,-2.74,51,7
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35,41,6
CCCC(=O)CC,-0.83,85,2
Oc1c(Br)cc(C#N)cc1Br ,-3.33,41,5
Clc1ccc(cc1Cl)c2ccccc2 ,-6.39,7,3
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873,17,6
Oc1cccc2ncccc12 ,-2.54,56,1
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14,44,6
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81,32,6
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,25,10
ClCBr,-0.89,84,11
CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-2.23,63,8
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63,20,0
NC(=O)NCc1ccccc1 ,-0.95,84,5
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483,38,9
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,36,9
OC1CCCCCC1,-0.88,85,7
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,-2.154,64,6
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36,41,8
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36,59,11
Oc1ccc(cc1)N(=O)=O,-0.74,87,9
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307,7,6
C1CCOC1,0.49,96,12
Nc1ccccc1N(=O)=O,-1.96,68,9
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28,4,3
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,-3.81,32,6
Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0,48,9
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,23,0
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005,23,11
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,-5.4,12,6
c1(Br)c(Br)cc(Br)cc1,-4.5,22,11
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,-3.952,31,6
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356,60,8
c1(O)c(C)ccc(C(C)C)c1,-2.08,66,5
C1SC(=S)NC1(=O),-1.77,72,11
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-3.083,46,6
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259,13,6
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,17,11
C1CCCCC1,-3.1,45,2
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278,4,11
CN(C)C=Nc1ccc(Cl)cc1C,-2.86,49,9
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24,13,6
CCCCCCCCO,-2.39,58,7
CCSCC,-1.34,78,4
ClCCCl,-1.06,82,4
CCC(C)(C)Cl,-2.51,56,4
ClCCBr,-1.32,78,4
Nc1ccc(cc1)N(=O)=O,-2.37,59,9
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244,92,11
CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,-2.86,49,6
Clc1ccccc1,-2.38,59,10
CCCCCCCC=C,-5.05,15,2
Brc1ccc(I)cc1,-4.56,21,11
CCC(C)(O)CC,-0.36,91,7
CCCCCc1ccccc1,-4.64,20,5
NC(=O)NC1NC(=O)NC1=O ,-1.6,74,11
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001,21,6
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.2,4,5
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.184,14,0
Clc1cccc2ccccc12,-3.93,31,1
CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-4.749,18,6
CCCCC(C)O,-0.89,84,7
CCCC1CCCC1,-4.74,18,2
CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735,18,6
Oc1ccc(Cl)c(Cl)c1,-1.25,80,10
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001,2,6
c2ccc1ocnc1c2,-1.16,81,11
CCCCCO,-0.6,89,7
CCN(CC)c1ccccc1,-3.03,47,9
Fc1cccc(F)c1,-2.0,67,1
ClCCC#N ,-0.29,91,4
CC(C)(C)Cc1ccccc1,-4.15,27,5
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322,61,6
Clc1ccccc1I,-3.54,37,10
c2ccc1[nH]nnc1c2,-0.78,86,11
CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8,50,6
Cc1cccc(C)c1O,-1.29,79,5
CC(C)C(C)O,-0.18,92,7
c1ccccc1C(O)c2ccccc2,-2.55,55,5
CCCCCCCCCC(=O)OC,-4.69,19,12
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31,25,9
CC(C)CBr,-2.43,58,4
CCI,-1.6,74,4
CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-1.95,69,6
CCCCCCBr,-3.81,32,2
CCCC(C)C,-3.74,34,2
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.321000000000001,3,6
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,-2.73,51,6
ON=Cc1ccc(o1)N(=O)=O ,-2.19,63,11
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.003,2,6
Nc1nc[nH]n1,0.522,97,11
BrC(Br)Br,-1.91,70,11
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,92,11
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233,14,6
OCc1ccccc1,-0.4,91,5
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84,50,6
Oc1ccc(Br)cc1,-1.09,82,10
CC(C)Br,-1.59,75,4
CC(C)CC(C)(C)C,-4.74,18,2
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89,49,9
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.796,33,6
CCC,-1.94,69,4
Nc1cc(nc(N)n1=O)N2CCCCC2 ,-1.989,68,6
Nc2cccc3nc1ccccc1cc23 ,-4.22,26,1
c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49,1,11
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666,10,6
C1Cc2cccc3cccc1c23,-4.63,20,5
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34,7,6
Brc1ccc(Br)cc1,-4.07,29,1
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82,50,6
Oc1ccc(cc1)c2ccccc2,-3.48,38,10
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56,55,6
CCOC=C,-0.85,85,4
CCC#C,-1.24,80,4
COc1ncnc2nccnc12 ,-1.11,82,11
CCCCC(C)(O)CC,-1.6,74,7
Clc1ccc(Cl)cc1,-3.27,42,10
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47,22,6
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981,68,6
Cc1c[nH]c2ccccc12 ,-2.42,58,1
COc2ncc1nccnc1n2,-1.11,82,11
CNC(=O)Oc1ccccc1C2OCCO2,-1.57,75,6
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15,64,11
CC#N,0.26,95,4
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7,19,6
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,-3.59,36,6
ClCC(Cl)(Cl)Cl,-2.18,64,4
CCCCO,0.0,94,7
CC1CCCCC1NC(=O)Nc2ccccc2,-4.11,28,9
Clc1cc(Cl)cc(Cl)c1,-4.48,22,10
O=Cc1ccco1,-0.1,93,11
CC(C)CCO,-0.51,89,7
O=Cc2ccc1OCOc1c2 ,-1.63,74,5
CC(=C)C,-2.33,61,4
O=Cc1ccccc1,-1.19,81,5
CC(=C)C(=C)C,-2.4,58,4
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71,19,6
O2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.672,35,6
C1c2ccccc2c3ccccc13,-5.0,15,6
CC1CCCCC1,-3.85,32,2
NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-1.99,67,11
COC(=O)c1ccc(O)cc1,-1.827,71,5
CC1CCCO1,0.11,94,12
CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09,46,0
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85,85,6
CCCI,-2.29,62,4
CCNc1nc(NC(C)C)nc(SC)n1,-3.04,47,11
CCCO,0.62,97,12
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,32,0
CCCC(C)O,-0.29,91,7
OC(C(=O)c1ccccc1)c2ccccc2,-2.85,50,5
Cc1ccc(O)c(C)c1,-1.19,81,5
Clc1cccc(c1)N(=O)=O,-2.77,51,9
Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624,88,6
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57,6,3
ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92,16,11
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0,30,11
CCC(C)CCO,-0.71,87,7
Cc2ncc1nccnc1n2,-0.12,93,11
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001,11,6
CCCCI,-2.96,48,4
Brc1ccc2ccccc2c1,-4.4,23,1
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-4.081,29,0
FC(F)(F)c1ccccc1,-2.51,56,5
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144,8,5
c1ccc2c(c1)sc3ccccc23,-4.38,24,1
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-7.8,3,3
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01,2,3
CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O ,-3.893,31,6
c1ccccc1C(O)C(O)c2ccccc2,-1.93,69,5
COC(=O)c1ccccc1C(=O)OC,-1.66,73,5
CCCCCCCC(=O)OCC,-3.39,40,12
CCSSCC,-2.42,58,4
CCOCCOCC,-0.77,86,4
Clc1cc(Cl)c(Cl)cc1Cl,-5.56,11,10
Nc1ccc(cc1)c2ccc(N)cc2,-2.7,52,9
CCCCCC=C,-3.73,34,2
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028,47,6
O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39,58,8
Nc1ccccc1Cl,-1.52,75,9
COc1cccc(Cl)c1,-2.78,51,10
CCCCN(CC)C(=O)SCCC,-3.53,38,11
CCCCOC=O,-1.37,77,12
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18,44,0
BrC(Cl)Cl,-1.54,75,11
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,-3.48,38,0
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11,4,1
Oc1ccc(C=O)cc1,-0.96,84,5
CBr,-0.79,86,11
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8,33,6
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839,10,6
CCc1ccc2ccccc2c1,-4.29,25,5
Nc1c(C)c[nH]c(=O)n1 ,-1.4580000000000002,77,11
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,-7.92,2,3
c1c(NC(=O)c2ccccc2(I))cccc1,-4.21,26,6
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685,34,6
Fc1ccccc1Br,-2.7,52,11
Oc1ccc(Cl)cc1Cl,-1.55,75,10
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291,7,6
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,-4.16,27,6
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907,16,6
C1CCCC1,-2.64,53,2
Cc1ccccc1N,-2.21,63,5
c1(OC)ccc(CC=C)cc1,-2.92,49,5
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 ,-2.93,48,6
CC(C)C=C,-2.73,51,4
Oc1ccccn1,1.02,98,11
CC,-1.36,78,4
Clc1ccccc1Cl,-3.05,46,10
Sc2nc1ccccc1s2 ,-3.18,44,11
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6,0,3
COc2c1occc1cc3ccc(=O)oc23 ,-3.664,35,6
CC(=O)N,1.58,99,4
Cc1cccc2ccccc12,-3.7,34,1
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,-3.57,37,6
CC(O)C(C)(C)C,-0.62,88,7
CCCC(=O)OCC,-1.36,78,12
CC2=CC(=O)c1ccccc1C2=O ,-3.03,47,6
c1ccc2c(c1)ccc3ccccc32,-5.26,13,1
Cc1ccnc(C)c1,0.38,96,1
CCCCCCCCCO,-3.01,47,7
BrCBr,-1.17,81,11
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59,36,0
Cc1ccc2cc(C)ccc2c1,-4.89,16,1
CCSC(=O)N(CC(C)C)CC(C)C,-3.68,34,11
O=N(=O)OCC(CON(=O)=O)ON(=O)=O ,-2.22,63,11
Nc1cccc(c1)N(=O)=O,-2.19,63,9
CCCCCl,-2.03,66,4
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,-4.19,27,11
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445,22,6
Nc3cc2c1ccccc1ccc2c4ccccc34 ,-6.2,8,1
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955,30,6
CCN2c1ccccc1N(C)C(=S)c3cccnc23 ,-4.706,19,6
CC1CO1,-0.59,89,12
O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,-3.796,33,6
CCNC(=S)NCC,-1.46,76,11
Oc1cc(Cl)cc(Cl)c1Cl,-2.67,53,10
CCCCC(=O)OC,-1.34,78,12
Nc1ccccc1,-0.41,90,9
Cc1cccc2c(C)cccc12,-4.678999999999999,19,1
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,-2.63,54,6
C1=Cc2cccc3cccc1c23,-3.96,30,1
CCCCCOC(=O)CC,-1.28,79,12
CCNc1nc(NC(C)C)nc(OC)n1,-2.084,66,11
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699,0,1
CCBr,-1.09,82,4
CCC#CCC,-1.99,67,4
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-5.292999999999999,12,0
CCC(=C)C,-2.73,51,4
Oc1cccc2cccnc12 ,-2.42,58,1
C1CCc2ccccc2C1,-4.37,24,5
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,-2.9,49,6
Brc1cc(Br)cc(Br)c1,-5.6,11,1
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72,10,10
Cc1cc(=O)[nH]c(=S)[nH]1,-2.436,58,11
COc1cc(CC=C)ccc1O,-1.56,75,5
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002,73,8
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176,8,1
CCOC(C)OCC,-0.43,90,4
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338,60,6
CCCCOCCO,-0.42,90,12
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82,10,9
CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402,23,0
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047,29,6
c1ccc2ncccc2c1,-1.3,78,1
COC(=O)c1cc(O)c(O)c(O)c1 ,-1.24,80,5
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,-1.8,71,6
Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004,50,11
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92,2,3
O=C1NC(=O)C(=O)C(=O)N1 ,-1.25,80,11
ClCCCCl,-1.62,74,4
Fc1cccc(Br)c1,-2.67,53,11
Clc1ccc(Br)cc1,-3.63,36,10
CC(C)C(C)C,-3.65,35,2
CCC=C,-1.94,69,4
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68,3,3
Nc1cc[nH]c(=O)n1 ,-1.155,81,11
FC(F)(Cl)C(F)(Cl)Cl,-3.04,47,11
CCC#N,0.28,95,4
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl ,-6.51,6,6
COc1ccccc1N(=O)=O,-1.96,68,9
CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12,28,0
CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8,17,6
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018,0,1
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ,-3.38,40,6
c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899,70,6
OCC(O)CO,1.12,99,12
COc1ccccc1O ,-1.96,68,10
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-5.67,10,6
Cc1c2ccccc2cc3ccccc13,-5.89,9,1
Cc1cc(=O)n(c2ccccc2)n1C,0.715,98,6
CCCCOC,-0.99,83,12
Cc2cnc1cncnc1n2,-0.8540000000000001,85,11
CCNc1nc(Cl)nc(NCC)n1 ,-4.55,21,11
CN(C)C(=O)C,1.11,99,11
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676,53,11
C=C,-0.4,91,11
CC(C)(C)CCO,-0.5,89,7
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614,74,8
Oc1ccc(Cl)c(Cl)c1Cl,-2.67,53,10
COc1ccccc1,-1.85,70,10
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53,22,6
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,-3.85,32,0
COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,-4.16,27,9
CCc1ccc(C)cc1,-3.11,45,5
CC(C)SC(C)C,-2.24,62,4
O=N(=O)c1cccc(c1)N(=O)=O,-2.29,62,9
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,11,11
CCC1(C(C)C)C(=O)NC(=O)NC1=O ,-2.21,63,8
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,-4.21,26,0
Cc1ncc(N(=O)=O)n1CCO,-1.22,80,11
Nc1ccc(Cl)cc1,-1.66,73,9
CCCC(C)(C)CO,-1.52,75,7
c1ccoc1,-0.82,85,11
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928,49,11
CN(C)C(=O)NC1CC2CC1C3CCCC23,-3.1710000000000003,44,11
CC(C)(C)c1ccccc1,-3.66,35,5
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27,42,6
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,-4.37,24,0
CCCOC,-0.39,91,12
CC(C)OC(=O)C,-0.55,89,12
Brc1ccccc1,-2.55,55,1
CCOC(=O)c1ccc(O)cc1,-2.35,60,5
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071000000000001,15,6
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.37,12,0
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332,0,1
O=c1[nH]cnc2[nH]ncc12 ,-2.266,62,11
ClC=C,-1.75,72,11
CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,-2.98,48,5
BrC(Br)(Br)Br,-3.14,44,11
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 ,-4.871,17,6
O=C1NC(=O)c2ccccc12 ,-2.61,54,6
OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38,24,6
COC(=O)c1ccccc1,-1.85,70,5
Cn1ccc(=O)[nH]c1=O,-0.807,86,11
CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 ,-3.73,34,6
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.47,7,3
CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.29,42,6
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8,33,9
C1CC=CC1,-2.1,65,2
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99,67,6
CCCCCCCCC,-5.88,9,2
Oc1ccccc1Cl,-1.06,82,10
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59,6,1
CCOc1ccccc1,-2.33,61,10
CCOC(=O)C=Cc1ccccc1,-3.0,48,5
Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484,57,6
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499,38,6
Cc1ccc(cc1)S(=O)(=O)N,-1.74,72,5
CC(OC(=O)Nc1cccc(Cl)c1)C#C,-2.617,54,9
CCCCCC(C)C,-5.08,15,2
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176,1,6
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,-3.5380000000000003,37,6
CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754,34,6
CCC(O)C(C)C,-0.7,87,7
