Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
1,283.331,1,3,2,54.46,-5.153,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 
1,192.261,0,3,0,0.0,-5.84,Cc1ccc2c(ccc3ccccc32)c1
1,278.348,0,1,8,52.60000000000001,-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC 
1,261.919,1,1,1,29.46,-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl 
1,299.6909999999999,0,0,8,65.07000000000001,0.523,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl
1,268.356,1,4,0,37.3,-5.282,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O
1,414.82700000000017,1,2,8,127.79,-4.5760000000000005,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2
1,153.13699999999997,0,1,2,52.37,-2.41,COc1ccc(cc1)N(=O)=O
1,120.623,0,0,4,0.0,-3.12,CCCCCCCl
1,429.77200000000016,0,2,1,0.0,-9.16,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl
1,504.4380000000001,11,3,8,268.67999999999995,-0.41,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O
1,366.7180000000002,0,0,23,0.0,-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC
1,253.30499999999995,0,3,1,36.44,-3.324,CCN2c1ccccc1N(C)C(=O)c3cccnc23 
1,98.96,0,0,0,0.0,-1.29,CC(Cl)Cl
1,172.20899999999995,2,1,1,86.18,-1.34,Nc1ccc(cc1)S(N)(=O)=O
1,309.36600000000004,0,1,8,89.51999999999998,-6.49,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O
1,290.832,0,1,0,0.0,-4.64,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
1,345.4010000000002,1,1,8,56.790000000000006,-4.194,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
1,181.449,0,1,0,0.0,-4.0,Clc1cccc(Cl)c1Cl
1,153.823,0,0,0,0.0,-2.31,ClC(Cl)(Cl)Cl
1,192.001,0,1,1,43.14,-3.2,O=N(=O)c1cc(Cl)c(Cl)cc1
1,128.215,1,1,0,20.23,-1.29,OC1CCCCCCC1
1,302.4580000000001,1,4,0,37.3,-3.999,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
1,180.207,2,1,3,64.35,-2.17,CCOc1ccc(NC(N)=O)cc1
1,112.216,0,1,0,0.0,-4.47,C/C1CCC(\C)CC1
2,180.21,0,3,0,25.78,-2.68,c1cnc2c(c1)ccc3ncccc23
1,88.14999999999999,0,0,0,9.23,-0.24,COC(C)(C)C
1,148.20499999999998,0,1,2,9.23,-3.13,COc1ccc(C=CC)cc1
1,242.44699999999992,1,0,14,20.23,-7.0,CCCCCCCCCCCCCCCCO
1,112.088,2,1,0,65.72,-1.4880000000000002,O=c1cc[nH]c(=O)[nH]1 
1,135.13,2,2,0,80.47999999999999,-2.12,Nc1ncnc2nc[nH]c12 
1,326.437,0,2,1,0.0,-7.21,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl 
1,256.30499999999995,1,3,4,55.24,-2.596,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 
2,252.316,0,5,0,0.0,-8.23,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54
1,212.252,2,2,2,41.13,-3.15,O=C(Nc1ccccc1)Nc2ccccc2
1,232.239,2,2,2,75.27000000000001,-2.322,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 
1,257.547,0,2,1,0.0,-6.29,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
1,206.289,1,1,2,32.34,-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1
1,259.762,0,1,5,46.09,-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1
1,102.17699999999998,1,0,2,20.23,-1.04,CCC(C)(C)CO
1,130.18699999999998,0,0,4,26.3,-1.75,CCCOC(=O)CCC
1,227.132,0,1,3,129.42000000000002,-3.22,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
1,397.52400000000006,1,1,10,64.63,-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
2,98.189,0,1,0,0.0,-3.51,C1CCCCCC1
1,88.10599999999998,0,0,3,26.3,-0.49,CCCOC=O
1,134.22199999999995,0,1,1,0.0,-3.76,CC(C)c1ccccc1C
1,127.574,1,1,0,26.02,-1.37,Nc1cccc(Cl)c1
1,100.20499999999998,0,0,2,0.0,-4.26,CC(C)CC(C)C
2,168.195,0,3,0,13.14,-4.6,o1c2ccccc2c3ccccc13
1,286.34900000000005,0,2,4,61.830000000000005,-3.42,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C
1,232.205,1,1,1,32.34,-3.43,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
2,179.22199999999998,0,3,0,12.89,-3.67,c3ccc2nc1ccccc1cc2c3
1,360.45000000000016,2,4,2,91.67,-3.11,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
1,180.156,5,1,1,110.38,0.74,OCC1OC(O)C(O)C(O)C1O
1,108.14,1,1,0,20.23,-0.68,Cc1cccc(O)c1
1,365.842,2,3,3,92.5,-3.5860000000000003,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O 
1,404.54700000000025,1,3,6,72.83,-6.005,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 
1,168.10799999999995,0,1,2,86.28,-3.39,O=N(=O)c1ccc(cc1)N(=O)=O
1,262.309,2,3,2,75.27000000000001,-2.696,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3
1,200.322,0,0,9,26.3,-4.1,CCCCCCCCCC(=O)OCC
1,164.208,1,1,1,32.34,-1.6,CN(C)C(=O)Nc1ccccc1
1,88.14999999999999,0,0,3,9.23,-0.66,CCCOCC
1,60.096,1,0,0,20.23,0.43,CC(C)O
1,142.201,0,2,0,0.0,-3.77,Cc1ccc2ccccc2c1
1,208.28,0,0,0,0.0,-1.9,ClC(Br)Br
1,270.372,2,2,5,40.46,-4.43,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2
1,330.3640000000001,0,0,9,71.06,-3.37,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
1,126.58599999999996,0,1,1,0.0,-2.39,ClCc1ccccc1
1,70.09100000000001,0,0,1,17.07,0.32,C/C=C/C=O
1,293.548,1,1,2,41.57,-3.924,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
1,206.288,0,3,0,0.0,-6.57,Cc1c2ccccc2c(C)c3ccccc13
1,130.18699999999998,0,0,4,26.3,-1.87,CCCCCC(=O)OC
1,338.79500000000013,1,2,2,80.37,-4.328,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C
1,153.156,1,1,1,29.1,-1.78,CC(=O)Nc1ccc(F)cc1
1,269.77199999999993,0,1,6,29.54,-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl 
2,82.146,0,1,0,0.0,-2.59,C1CCC=CC1
1,362.4660000000002,3,4,2,94.83,-3.09,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
2,80.08999999999999,0,1,0,25.78,1.1,c1cncnc1
1,157.55599999999998,0,1,1,43.14,-2.92,Clc1ccc(cc1)N(=O)=O
1,88.106,0,0,1,26.3,-0.14,CCC(=O)OC
1,157.55599999999998,0,1,1,43.14,-2.55,Clc1ccccc1N(=O)=O
1,275.179,1,1,4,32.34,-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
1,256.331,1,2,1,69.56,-1.877,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C
1,123.11099999999996,0,1,1,43.14,-1.8,O=N(=O)c1ccccc1
1,204.01,0,1,0,0.0,-3.01,Ic1ccccc1
1,365.8420000000001,2,3,2,92.5,-3.78,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O 
1,241.243,2,1,6,91.01,-0.985,COc1ccccc1OCC(O)COC(N)=O
1,311.85300000000007,0,1,9,29.54,-4.19,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 
1,163.003,1,1,0,20.23,-1.3,Oc1cccc(Cl)c1Cl
1,102.13299999999998,0,0,2,26.3,-1.92,CCCC(=O)OC
1,218.083,1,1,2,29.1,-3.0,CCC(=O)Nc1ccc(Cl)c(Cl)c1
1,253.26900000000003,3,3,1,129.62,-2.404,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3
1,144.21399999999997,0,0,5,26.3,-2.35,CCCCCC(=O)OCC
1,309.529,3,2,2,88.38000000000001,-1.84,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl 
1,293.41400000000004,0,2,4,27.96,-5.47,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
1,225.296,2,1,5,71.96000000000001,-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1
1,112.216,0,0,5,0.0,-4.44,CCCCCCC=C
1,107.156,1,1,0,26.02,-1.21,Cc1ccc(N)cc1
1,100.146,1,1,0,38.91,-0.36,Nc1nccs1 
1,151.165,1,1,1,38.33,-1.803,c1ccccc1(OC(=O)NC)
1,102.177,1,0,3,20.23,-0.8,CCCC(O)CC
1,194.233,1,3,0,20.23,-4.73,c3ccc2c(O)c1ccccc1cc2c3 
1,192.261,0,3,0,0.0,-6.96,Cc1ccc2cc3ccccc3cc2c1
1,120.195,0,1,0,0.0,-3.2,Cc1cccc(C)c1C
1,208.261,1,1,2,41.57,-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1
1,144.258,1,0,6,20.23,-2.74,CCCCCCCC(C)O
1,268.36,1,2,3,32.34,-3.35,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2
1,100.161,0,0,3,17.07,-0.83,CCCC(=O)CC
1,276.915,1,1,0,44.02,-3.33,Oc1c(Br)cc(C#N)cc1Br 
1,223.102,0,2,1,0.0,-6.39,Clc1ccc(cc1Cl)c2ccccc2 
1,298.367,0,3,4,42.43000000000001,-4.873,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3
1,145.161,1,2,0,33.120000000000005,-2.54,Oc1cccc2ncccc12 
1,235.308,1,2,2,38.33,-3.14,CC1=C(SCCO1)C(=O)Nc2ccccc2
1,258.324,1,2,3,82.28,-3.81,CCOc2ccc1nc(sc1c2)S(N)(=O)=O 
1,266.338,1,1,0,20.23,-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
1,129.384,0,0,0,0.0,-0.89,ClCBr
1,198.222,1,1,2,66.48,-2.23,CCC1(CC)C(=O)NC(=O)N(C)C1=O 
1,372.5050000000002,0,4,3,60.440000000000005,-4.63,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
1,150.18099999999998,2,1,2,55.120000000000005,-0.95,NC(=O)NCc1ccccc1 
1,212.68,1,1,1,32.34,-3.483,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
1,249.097,1,1,2,41.57,-3.592,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
1,114.188,1,1,0,20.23,-0.88,OC1CCCCCC1
1,356.2270000000001,3,1,6,103.70000000000002,-2.154,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl 
1,242.344,2,1,4,58.2,-3.36,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O 
1,222.251,2,1,2,115.04,-2.36,CC(=O)Nc1nnc(s1)S(N)(=O)=O 
1,139.11,1,1,1,63.37,-0.74,Oc1ccc(cc1)N(=O)=O
1,364.914,0,4,0,0.0,-6.307,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
2,72.107,0,1,0,9.23,0.49,C1CCOC1
1,138.126,1,1,1,69.16,-1.96,Nc1ccccc1N(=O)=O
1,291.992,0,2,1,0.0,-7.28,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
1,308.38100000000003,0,3,5,40.620000000000005,-3.81,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 
1,182.135,0,1,2,86.28,-3.0,Cc1c(cccc1N(=O)=O)N(=O)=O
1,314.46900000000005,0,4,1,34.14,-4.42,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
1,257.76899999999995,0,1,6,45.150000000000006,-4.4110000000000005,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC
1,349.06600000000014,0,2,3,37.38,-5.4,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O 
1,314.802,0,1,0,0.0,-4.5,c1(Br)c(Br)cc(Br)cc1
1,286.718,2,3,1,61.690000000000005,-3.952,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O 
1,238.28699999999995,2,1,5,75.27000000000001,-2.356,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C
1,150.22099999999998,1,1,1,20.23,-2.08,c1(O)c(C)ccc(C(C)C)c1
1,133.197,1,1,0,29.1,-1.77,C1SC(=S)NC1(=O)
1,302.23800000000006,5,3,1,131.36,-3.083,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O 
1,490.6390000000001,0,6,0,17.07,-5.259,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl
1,296.5520000000001,0,0,4,6.48,-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC
2,84.162,0,1,0,0.0,-3.1,C1CCCCC1
1,474.64,0,2,1,0.0,-7.278,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl
1,196.681,0,1,2,15.6,-2.86,CN(C)C=Nc1ccc(Cl)cc1C
1,266.34,1,4,0,37.3,-5.24,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O
1,130.23100000000002,1,0,6,20.23,-2.39,CCCCCCCCO
1,90.191,0,0,2,0.0,-1.34,CCSCC
1,98.96,0,0,1,0.0,-1.06,ClCCCl
1,106.596,0,0,1,0.0,-2.51,CCC(C)(C)Cl
1,143.411,0,0,1,0.0,-1.32,ClCCBr
1,138.126,1,1,1,69.16,-2.37,Nc1ccc(cc1)N(=O)=O
1,342.297,8,2,4,189.53,-0.244,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
1,268.32,0,3,2,49.330000000000005,-2.86,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 
1,112.55899999999995,0,1,0,0.0,-2.38,Clc1ccccc1
1,126.243,0,0,6,0.0,-5.05,CCCCCCCC=C
1,282.90599999999995,0,1,0,0.0,-4.56,Brc1ccc(I)cc1
1,102.17699999999998,1,0,2,20.23,-0.36,CCC(C)(O)CC
1,148.249,0,1,4,0.0,-4.64,CCCCCc1ccccc1
1,158.117,4,1,1,113.32,-1.6,NC(=O)NC1NC(=O)NC1=O 
1,372.80800000000016,3,3,6,91.68,-4.571000000000001,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23
1,320.04600000000005,0,2,3,0.0,-7.2,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
1,330.4680000000001,0,4,1,43.370000000000005,-5.184,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
1,162.61899999999997,0,2,0,0.0,-3.93,Clc1cccc2ccccc12
1,252.31699999999995,0,3,1,23.55,-4.749,CCN2c1ccccc1N(C)C(=O)c3ccccc23 
1,102.17699999999998,1,0,3,20.23,-0.89,CCCCC(C)O
1,112.216,0,1,2,0.0,-4.74,CCCC1CCCC1
1,244.294,0,2,4,44.12,-4.735,CCOC(=O)c1cncn1C(C)c2ccccc2
1,163.003,1,1,0,20.23,-1.25,Oc1ccc(Cl)c(Cl)c1
1,416.30400000000014,0,3,6,59.32000000000001,-8.017000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
2,119.12299999999998,0,2,0,26.03,-1.16,c2ccc1ocnc1c2
1,88.14999999999999,1,0,3,20.23,-0.6,CCCCCO
1,149.237,0,1,3,3.24,-3.03,CCN(CC)c1ccccc1
1,114.094,0,1,0,0.0,-2.0,Fc1cccc(F)c1
1,89.525,0,0,1,23.79,-0.29,ClCCC#N 
1,148.249,0,1,1,0.0,-4.15,CC(C)(C)Cc1ccccc1
1,232.239,2,2,2,75.27000000000001,-2.322,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1
1,238.455,0,1,0,0.0,-3.54,Clc1ccccc1I
2,119.127,1,2,0,41.57,-0.78,c2ccc1[nH]nnc1c2
1,221.256,1,2,1,47.56,-2.8,CNC(=O)Oc1cccc2CC(C)(C)Oc12
1,122.167,1,1,0,20.23,-1.29,Cc1cccc(C)c1O
1,88.14999999999999,1,0,1,20.23,-0.18,CC(C)C(C)O
1,184.238,1,2,2,20.23,-2.55,c1ccccc1C(O)c2ccccc2
1,186.295,0,0,8,26.3,-4.69,CCCCCCCCCC(=O)OC
1,297.656,0,1,5,70.83000000000001,-4.31,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
1,137.01999999999998,0,0,1,0.0,-2.43,CC(C)CBr
1,155.966,0,0,0,0.0,-1.6,CCI
1,238.291,0,1,2,58.56000000000001,-1.95,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
1,165.074,0,0,4,0.0,-3.81,CCCCCCBr
1,86.178,0,0,2,0.0,-3.74,CCCC(C)C
1,418.7360000000001,0,2,4,26.3,-7.321000000000001,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
1,283.7989999999999,0,1,6,29.54,-2.73,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl 
1,156.09699999999998,1,1,2,88.87,-2.19,ON=Cc1ccc(o1)N(=O)=O 
1,502.9200000000002,1,3,8,71.35,-8.003,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
1,84.082,2,1,0,67.59,0.522,Nc1nc[nH]n1
1,252.731,0,0,0,0.0,-1.91,BrC(Br)Br
1,257.437,1,0,3,55.760000000000005,-0.22,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
1,367.8160000000001,0,2,7,53.6,-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12
1,108.13999999999996,1,1,1,20.23,-0.4,OCc1ccccc1
1,292.33400000000006,1,4,1,50.44,-2.84,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 
1,173.009,1,1,0,20.23,-1.09,Oc1ccc(Br)cc1
1,122.993,0,0,0,0.0,-1.59,CC(C)Br
1,114.232,0,0,1,0.0,-4.74,CC(C)CC(C)(C)C
1,213.105,0,1,3,129.42000000000002,-2.89,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
1,295.29800000000006,0,3,2,75.81,-3.796,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O
1,44.097,0,0,0,0.0,-1.94,CCC
1,209.253,2,2,1,95.11,-1.989,Nc1cc(nc(N)n1=O)N2CCCCC2 
1,194.237,1,3,0,38.91,-4.22,Nc2cccc3nc1ccccc1cc23 
2,252.316,0,5,0,0.0,-8.49,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45
1,370.49,1,2,2,20.23,-5.666,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
2,154.21199999999996,0,3,0,0.0,-4.63,C1Cc2cccc3cccc1c23
1,393.85400000000016,0,2,8,55.84,-6.34,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O
1,235.906,0,1,0,0.0,-4.07,Brc1ccc(Br)cc1
1,261.064,0,2,1,57.14,-2.82,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O
1,170.211,1,2,1,20.23,-3.48,Oc1ccc(cc1)c2ccccc2
1,217.26800000000003,1,2,2,38.33,-2.56,CC1=C(CCCO1)C(=O)Nc2ccccc2 
1,72.10700000000001,0,0,2,9.23,-0.85,CCOC=C
1,54.09199999999999,0,0,0,0.0,-1.24,CCC#C
1,162.15200000000002,0,2,1,60.790000000000006,-1.11,COc1ncnc2nccnc12 
1,130.23099999999997,1,0,4,20.23,-1.6,CCCCC(C)(O)CC
1,147.00400000000002,0,1,0,0.0,-3.27,Clc1ccc(Cl)cc1
1,324.33600000000007,1,3,4,75.71,-4.47,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3
1,361.4450000000001,4,1,8,132.11999999999998,-1.981,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
1,131.17799999999997,1,2,0,15.79,-2.42,Cc1c[nH]c2ccccc12 
1,162.152,0,2,1,60.790000000000006,-1.11,COc2ncc1nccnc1n2
1,223.22799999999995,1,2,2,56.790000000000006,-1.57,CNC(=O)Oc1ccccc1C2OCCO2
1,185.227,2,1,2,61.440000000000005,-2.15,C1N(C(=O)NCC(C)C)C(=O)NC1
1,41.053,0,0,0,23.79,0.26,CC#N
1,301.34200000000004,1,2,7,56.790000000000006,-4.7,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2
1,293.34800000000007,1,2,3,89.43,-3.59,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C 
1,167.85,0,0,0,0.0,-2.18,ClCC(Cl)(Cl)Cl
1,74.12299999999999,1,0,2,20.23,0.0,CCCCO
1,232.32700000000003,2,2,2,41.13,-4.11,CC1CCCCC1NC(=O)Nc2ccccc2
1,181.449,0,1,0,0.0,-4.48,Clc1cc(Cl)cc(Cl)c1
1,96.08499999999998,0,1,1,30.21,-0.1,O=Cc1ccco1
1,88.14999999999999,1,0,2,20.23,-0.51,CC(C)CCO
1,150.13299999999998,0,2,1,35.53,-1.63,O=Cc2ccc1OCOc1c2 
1,56.108,0,0,0,0.0,-2.33,CC(=C)C
1,106.12399999999997,0,1,1,17.07,-1.19,O=Cc1ccccc1
1,82.146,0,0,1,0.0,-2.4,CC(=C)C(=C)C
1,410.5360000000002,0,2,8,68.31,-4.71,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C
1,226.235,0,3,0,42.43,-3.672,O2c1ccccc1N(C)C(=O)c3cccnc23 
2,166.22299999999998,0,3,0,0.0,-5.0,C1c2ccccc2c3ccccc13
1,98.189,0,1,0,0.0,-3.85,CC1CCCCC1
1,214.25,4,1,2,122.06,-1.99,NC(=N)NS(=O)(=O)c1ccc(N)cc1 
1,152.149,1,1,1,46.53,-1.827,COC(=O)c1ccc(O)cc1
1,86.134,0,1,0,9.23,0.11,CC1CCCO1
1,246.30599999999995,0,3,0,43.370000000000005,-3.09,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C
1,286.28,5,2,4,119.61,-0.85,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O
1,169.993,0,0,1,0.0,-2.29,CCCI
1,227.337,2,1,5,62.73,-3.04,CCNc1nc(NC(C)C)nc(SC)n1
1,60.096,1,0,1,20.23,0.62,CCCO
1,330.4680000000001,1,4,1,54.37,-3.817,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
1,88.14999999999999,1,0,2,20.23,-0.29,CCCC(C)O
1,212.248,1,2,3,37.3,-2.85,OC(C(=O)c1ccccc1)c2ccccc2
1,122.167,1,1,0,20.23,-1.19,Cc1ccc(O)c(C)c1
1,157.55599999999998,0,1,1,43.14,-2.77,Clc1cccc(c1)N(=O)=O
1,203.245,1,2,1,52.95,-0.624,Cc2c(N)c(=O)n(c1ccccc1)n2C
1,291.992,0,2,1,0.0,-6.57,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl 
1,260.762,0,0,1,0.0,-4.92,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl
1,241.364,2,1,4,62.73,-4.0,CCNc1nc(NC(C)(C)C)nc(SC)n1
1,102.177,1,0,3,20.23,-0.71,CCC(C)CCO
1,146.153,0,2,0,51.56,-0.12,Cc2ncc1nccnc1n2
1,337.4630000000001,1,5,0,46.260000000000005,-5.507000000000001,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C
1,184.02,0,0,2,0.0,-2.96,CCCCI
1,207.07,0,2,0,0.0,-4.4,Brc1ccc2ccccc2c1
1,780.9490000000001,6,8,7,203.06,-4.081,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
1,146.111,0,1,0,0.0,-2.51,FC(F)(F)c1ccccc1
1,334.45600000000024,0,1,12,52.60000000000001,-6.144,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
2,184.263,0,3,0,0.0,-4.38,c1ccc2c(c1)sc3ccccc23
1,326.437,0,2,1,0.0,-7.8,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
1,360.88200000000006,0,2,1,0.0,-8.01,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
1,308.3330000000001,1,3,4,67.50999999999999,-3.893,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
1,214.264,2,2,3,40.46,-1.93,c1ccccc1C(O)C(O)c2ccccc2
1,194.18599999999995,0,1,2,52.60000000000001,-1.66,COC(=O)c1ccccc1C(=O)OC
1,172.26799999999997,0,0,7,26.3,-3.39,CCCCCCCC(=O)OCC
1,122.258,0,0,3,0.0,-2.42,CCSSCC
1,118.176,0,0,5,18.46,-0.77,CCOCCOCC
1,215.894,0,1,0,0.0,-5.56,Clc1cc(Cl)c(Cl)cc1Cl
