measured log solubility in mols per litre,smiles
-7.32,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21
-2.78,COc1ccc(Cl)cc1
-1.77,NC(=S)Nc1ccccc1
-0.4,OCc1ccccc1
-3.46,O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3
-7.8,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
-4.432,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1
0.46,COC(=O)C
-3.239,CCNc1nc(NC(C)(C)C)nc(OC)n1
-2.42,Cc1c[nH]c2ccccc12 
-2.63,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl 
-1.03,CC(=O)Nc1ccc(O)cc1
-3.364,CN(C)c1nc(nc(n1)N(C)C)N(C)C
-3.499,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O
-2.24,CCCCc1c(C)nc(nc1O)N(C)C 
-1.45,c1ccc2cnccc2c1
-4.31,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
-3.59,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F
-4.14,Cc1ccc(C)c2ccccc12
-11.6,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl 
-2.8,Cc1ccccc1C
-4.047,FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O
-1.64,CCCC#C
-5.27,c1ccc2c(c1)[nH]c3ccccc32
0.58,COC=O
-1.28,CCCCCOC(=O)CC
-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-6.98,Brc1cc(Br)c(Br)cc1Br
-4.402,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O
-3.083,CC(=O)Nc1ccc(Br)cc1
-0.66,CCCOCC
-5.696000000000001,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C
0.39,C1OC(O)C(O)C(O)C1O
-1.33,c1ccsc1
-2.349,O=C2NC(=O)C1(CCCC1)C(=O)N2
-3.84,CCCCCC
-4.31,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO 
-4.678,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
-4.66,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
-2.38,Clc1ccccc1
0.47,CCC(C)O
-1.85,CCCCOCCCC
-3.23,CCCCC=C
-4.64,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
0.74,OCC1OC(O)C(O)C(O)C1O
-1.08,CCCCC(C)(C)O
-2.68,c1cnc2c(c1)ccc3ncccc23
-1.077,Fc1c[nH]c(=O)[nH]c1=O 
-5.51,CCCCCCCCC=C
-3.1,O=N(=O)c1ccccc1N(=O)=O
-6.68,C1c2ccccc2c3ccc4ccccc4c13
-3.11,CCc1ccc(C)cc1
-2.67,Fc1cccc(Br)c1
-3.66,CCCCCCC#C
-4.43,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2
-4.59,Cc1cc(C)c(C)cc1C
-1.96,ClC=C(Cl)Cl
-0.18,CC(C)C(C)O
-0.42,CCCCOCCO
-2.54,Oc1cccc2ncccc12 
-1.52,CCC(CC)C=O
-2.596,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 
-2.94,CCCCCCCCCC(C)O
-0.99,CCCCOC
0.15,CCOC=O
-2.07,Cc2cccc3sc1nncn1c23 
-0.73,Cc1ccc(O)cc1
-3.483,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
-0.85,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O
-0.364,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O 
-3.59,c1ccccc1NC(=O)c2c(O)cccc2
-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
-6.301,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
-3.77,CC(C)c1ccc(C)cc1
-2.05,Cc1cc(C)c(O)c(C)c1
-3.54,O=N(=O)c1cccc2ccccc12
-1.09,Oc1ccc(Br)cc1
-1.87,C=CC=C
-1.09,CCBr
-1.25,O=C1NC(=O)C(=O)C(=O)N1 
-1.74,ClC(Cl)C(Cl)Cl
-4.706,CCN2c1ccccc1N(C)C(=S)c3cccnc23 
-0.8540000000000001,Cc2cnc1cncnc1n2
-5.27,CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C
-3.73,CCCCCC=C
-3.36,CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23 
-5.88,CCCCCCCCC
-1.0,N#Cc1ccccc1
-7.337000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2
-3.15,O=C(Nc1ccccc1)Nc2ccccc2
-1.22,CC(C)C(O)C(C)C
-3.08,CCCCCBr
-3.953,Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O
-3.8,CCCCCCCCC(=O)OCC
-2.523,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 
-0.8,CC(C)CC(C)O
-2.077,O=C1NC(=O)NC(=O)C1(CC=C)CC=C
-3.7,Cc1cccc2ccccc12
-3.68,CCC(C)CC
-1.29,CC(Cl)Cl
-2.68,C=CCCC=C
-3.05,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl 
-5.19,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C
-3.1,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
-6.6370000000000005,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1
-3.06,O=C2NC(=O)C1(CCCCC1)C(=O)N2
-4.7,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2
-3.01,Ic1ccccc1
-1.55,CCCCCC(C)O
-1.95,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
-0.02,NC(=O)CCl 
-0.49,CCCC(C)(C)O
-1.807,CCCC(C)(COC(N)=O)COC(N)=O 
-0.47,CCC(C)CO
-1.981,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C 
-1.601,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C 
-0.624,Cc2c(N)c(=O)n(c1ccccc1)n2C
-2.15,C1N(C(=O)NCC(C)C)C(=O)NC1
-0.83,C=CCS(=O)SCC=C
-4.8,CCCCCCCCCCCCO
-2.73,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl 
-3.21,CCc1ccccc1C
-4.43,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
-4.3,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C 
-3.19,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 
-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O
-6.35,CCCCCCCCCCCCCCCO
-2.74,FC(F)(Cl)C(F)(F)Cl
-1.06,ClCCCl
-8.172,CCCCCCCCCCCCCCCCCCCC
-3.09,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1
-3.927,CN(C)C(=O)SCCCCOc1ccccc1
-1.155,Nc1cc[nH]c(=O)n1 
-2.32,CC1(C)C2CCC1(C)C(O)C2
-4.632,CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 
-0.985,COc1ccccc1OCC(O)COC(N)=O
-1.29,Cc1cccc(C)c1O
-5.19,O=C1c2ccccc2C(=O)c3ccccc13
1.11,CN(C)C(=O)C
-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
0.64,OCC1OC(O)(CO)C(O)C1O
-3.9,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1
-2.28,Oc1ccc2ccccc2c1
-8.56,Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl 
-3.19,Clc1ccccc1Br
-3.48,Oc1ccc(cc1)c2ccccc2
-2.59,c1(O)cc(O)ccc1CCCCCC
-2.09,CCCCCCC(C)O
0.35,OC1C(O)C(O)C(O)C(O)C1O
-0.62,CC(C)N(=O)=O
-7.11,c1ccc(cc1)c2ccc(cc2)c3ccccc3
-2.253,CSc1nnc(c(=O)n1N)C(C)(C)C
-1.96,COc1ccccc1O 
-4.23,CCC(C)(C)CC
-1.3,CCCCCC=O
-3.82,CCCC/C=C/C
-1.52,CCCC(C)(C)CO
-0.92,CC(C)CC(C)(C)O
-1.24,CCCCCCO
-5.382000000000001,CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2
-2.28,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
-3.401,Nc1nc(O)nc2nc[nH]c12 
-4.7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O
-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C
-2.461,Cc1cc(no1)C(=O)NNCc2ccccc2
-0.63,ClCCl
-4.4110000000000005,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC
-3.0,Cc1c(cccc1N(=O)=O)N(=O)=O
0.02,c2cnc1ncncc1n2
-7.92,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl 
-3.24,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
-6.51,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl 
-4.54,Clc1ccccc1c2ccccc2
-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O 
0.81,Oc1cccc(O)c1
-0.89,ClCBr
-1.21,CC(C)COC(=O)C
-2.16,Oc2ccc1ncccc1c2 
-4.9,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O 
-1.24,COC(=O)c1cc(O)c(O)c(O)c1 
-1.3,CC(C)C(=O)C(C)C
-3.79,Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O
-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
0.15,CCC(C)(C)O
-3.504,N(c1ccccc1)c2ccccc2
-3.93,Clc1cccc2ccccc12
-0.43,CCOC(C)OCC
0.85,CCOC(=O)N
-6.49,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O
-3.84,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC 
-2.39,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC
-6.2,Nc3cc2c1ccccc1ccc2c4ccccc34 
-2.647,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O 
-1.11,CCCC(C)CO
-3.604,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O
-7.28,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F 
-3.03,CC2=CC(=O)c1ccccc1C2=O 
-9.16,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl
-6.307,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
-1.95,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O 
-3.3,CC1CCCC1
-3.0210000000000004,COc2c1occc1c(OC)c3c(=O)cc(C)oc23 
-5.292999999999999,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
-4.36,CC(C)C(C)(C)C
-3.63,CCCCCCCCCCO
-0.71,CCC(C)CCO
-2.05,CCCCCCC(=O)C
-2.84,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 
-8.6,c1ccc2cc3cc4ccccc4cc3cc2c1
-3.27,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
-3.22,O=C1NCCN1c2ncc(s2)N(=O)=O
-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
1.57,CO
-4.8,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C
-3.39,O=N(=O)c1ccc(cc1)N(=O)=O
-4.743,CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O 
-3.76,Clc1cccc(n1)C(Cl)(Cl)Cl
-1.8,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F 
0.58,CCC=O
-1.6,CN(C)C(=O)Nc1ccccc1
-0.29,ClCCC#N 
-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1
1.1,c1ccnnc1
-1.01,Oc1cccc(c1)N(=O)=O
-3.96,O(c1ccccc1)c2ccccc2
-0.62,CC(O)C(C)(C)C
-1.92,Nc1cccc2ccccc12
-4.53,CCCCCCC
-3.928,O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 
-4.24,CCCCCCCC#C
-1.36,CCCC(=O)OCC
-4.88,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
-4.03,Clc1ccc(I)cc1
-2.09,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
-5.282,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O
-0.17,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O
-3.14,CC1=C(SCCO1)C(=O)Nc2ccccc2
-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
-0.092,ClCC#N
-0.41,CC#C
-2.51,CCC(C)(C)Cl
-1.64,c1ccccc1
-2.616,CCOC(=O)c1ccc(N)cc1
0.49,C1CCOC1
-6.14,Clc1ccc(cc1)c2c(Cl)cccc2Cl 
-3.88,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3
-2.35,CCOC(=O)c1ccccc1C(=O)OCC
0.29,C#C
-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23
-4.43,CCCCCCCBr
-8.699,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
-1.742,O=C1NC(=O)NC(=O)C1(C)C
-2.518,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
-1.06,Oc1ccccc1Cl
-3.04,Clc1cccc(Cl)c1
-2.34,ICI
-3.571,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67
-2.73,CCC(=C)C
-3.3,Cc1occc1C(=O)Nc2ccccc2
-0.9,C
-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 
-1.995,COP(=S)(OC)SCC(=O)N(C)C=O
-3.955,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O
-3.5,Brc1ccccc1Br
-3.69,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O
-0.36,Nc1nccs1 
-4.06,CCCCc1ccccc1
-4.28,CCC(C)C(C)C
-3.27,Clc1ccc(Cl)cc1
-2.37,CCCCBr
-5.16,CCCCC(C)CC
-0.244,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
-4.22,Nc2cccc3nc1ccccc1cc23 
-0.85,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 
-3.18,CCCCC
-1.614,O=C1NC(=O)NC(=O)C1(CC)CC=C
-4.16,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O
-2.55,c1ccccc1C(O)c2ccccc2
-3.57,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 
0.28,CCC#N
-3.78,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O 
-2.0,CC(Cl)(Cl)Cl
-1.62,ClCCCCl
-4.799,C2c1ccccc1N(CCF)C(=O)c3ccccc23 
0.06,OCC(O)C(O)C(O)C(O)CO 
-2.58,CCCSCCC
-2.09,CC(C)I
-9.018,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
-1.4880000000000002,O=c1cc[nH]c(=O)[nH]1 
-1.56,COc1cc(CC=C)ccc1O
-2.154,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl 
-0.01,CCCC=O
-3.66,CC(C)(C)c1ccccc1
-6.57,Cc1c2ccccc2c(C)c3ccccc13
-4.097,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
-8.176,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
-3.796,O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O
-4.678999999999999,Cc1cccc2c(C)cccc12
-1.97,Fc1ccc(F)cc1
-2.766,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
-1.3,Oc1cccc(Cl)c1Cl
-4.44,CCCCCCC=C
-1.139,COc2cnc1ncncc1n2
-1.3,Cl\C=C/Cl
-2.54,ClC(=C(Cl)Cl)Cl
-4.69,CCCCCCCCCC(=O)OC
-4.1,CCCCCCCCCC(=O)OCC
-0.85,CCOC=C
-1.99,CCC#CCC
-2.38,N#Cc1ccccc1C#N
-2.92,N(Nc1ccccc1)c2ccccc2 
-1.85,CC2(C)C1CCC(C)(C1)C2=O
-3.67,c3ccc2nc1ccccc1cc2c3
-4.081,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
-2.19,Nc1cccc(c1)N(=O)=O
-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
-2.49,Cc1ccc(cc1)N(=O)=O
-5.6,Brc1cc(Br)cc(Br)c1
-3.224,CNC(=O)Oc1cccc2ccccc12
-2.78,COc1cccc(Cl)c1
-2.51,FC(F)(F)c1ccccc1
-5.67,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl 
-1.54,BrC(Cl)Cl
-5.4,c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 
-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
-2.168,ClC(Cl)(Cl)C#N
-2.24,CC(C)SC(C)C
-2.48,CC(C)N(C(=O)CCl)c1ccccc1 
-3.08,Cc1ccc(Cl)cc1
-0.51,CC(C)CCO
-0.85,CCCCC=O
0.62,CCCO
-4.57,Clc1ccc(Cl)c(Cl)c1Cl
-5.82,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl
-2.3,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O 
-2.5810000000000004,CNC(=O)Oc1cc(C)cc(C)c1
-2.943,c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC)
-1.91,BrC(Br)Br
-1.99,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O)
-6.317,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
-4.07,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 
-1.66,COC(=O)c1ccccc1C(=O)OC
-0.6,O=C1CCCCC1
-2.617,CC(OC(=O)Nc1cccc(Cl)c1)C#C
-4.925,CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C
-3.53,CCCCN(CC)C(=O)SCCC
-0.5,CC(C)(C)CCO
-0.6,CCCCCO
-4.08,C(c1ccccc1)c2ccccc2
-2.96,CCCCI
-2.39,c1ccccc1SC
-5.85,Cc1cccc2c1ccc3ccccc32
-2.296,O=c1[nH]cnc2nc[nH]c12 
-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1
-1.28,CC(=O)c1ccccc1
-4.345,c1ccc(cc1)c2ccccc2
-6.39,Clc1ccc(cc1Cl)c2ccccc2 
-0.98,CCCC(C)(O)CC
-0.8759999999999999,Cn1cnc2n(C)c(=O)n(C)c(=O)c12
-2.111,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O
-2.42,Oc1cccc2cccnc12 
0.38,Cc1ccnc(C)c1
-4.23,CCOP(=S)(OCC)SCCSCC
-4.38,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl
0.715,Cc1cc(=O)n(c2ccccc2)n1C
-1.6,C1OC1c2ccccc2 
0.6509999999999999,CNC(=O)C=C(C)OP(=O)(OC)OC
-0.95,NC(=O)NCc1ccccc1 
-2.82,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O
-1.72,CCCCCC(C)(C)O
-2.658,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C
-3.094,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
-4.26,CC1=CCC(CC1)C(C)=C
-4.88,c1c(Cl)cccc1c2ccccc2
-6.09,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
-0.44,OC1CCCCC1
-3.0,CCC(=O)Nc1ccc(Cl)c(Cl)c1
-5.153,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 
-3.81,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 
-3.2,Cc1cccc(C)c1C
-4.16,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 
-2.436,Cc1cc(=O)[nH]c(=S)[nH]1
0.0,CCCCO
-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2
-7.96,CCCCCCCCCCCCCC
-2.89,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
-2.404,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3
-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1
-3.31,Cc1ccc(C)c(C)c1
0.38,Cc1cccnc1C
0.009,c1nccc(C(=O)NN)c1
-2.843,CC(=O)Nc1ccc(Cl)cc1
-3.42,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C
-2.266,O=c1[nH]cnc2[nH]ncc12 
-2.41,COc1ccc(cc1)N(=O)=O
-2.46,COc1ccccc1Cl
-4.74,CCCC1CCCC1
-2.0,ClCC(C)C
-0.74,CC(C)CC(=O)C
-4.57,CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C
1.34,CNN
-6.01,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1
-6.47,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl 
-3.81,CCOc2ccc1nc(sc1c2)S(N)(=O)=O 
-4.21,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C 
-2.42,CCSSCC
-4.89,CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2
0.79,OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O 
0.57,C=CC=O
-5.22,Cc1cccc2c1Cc3ccccc32
-5.915,Clc1ccc(CN(C2CCCC2)C(=O)Nc3ccccc3)cc1
-1.6,CCCCC(C)(O)CC
-2.281,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
-3.46,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O 
-2.77,CCc1ccccc1
-3.39,CCCCCCCC(=O)OCC
-3.27,CC1=CCCCC1
-0.85,Cc1cccc(N)c1
-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2
-3.13,COc1ccc(C=CC)cc1
-1.36,CC
-1.803,c1ccccc1(OC(=O)NC)
-5.28,Clc1ccc(cc1)c2ccccc2Cl 
0.48,COCOC
-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
-5.72,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
-0.09,CCOCC
-1.93,c1ccccc1C(O)C(O)c2ccccc2
1.02,Oc1ccncc1
-4.55,CCNc1nc(Cl)nc(NCC)n1 
-0.92,CC(O)c1ccccc1
-0.72,Nc1ccccc1O
-8.4,CCCCCCCCCCCCCCCC
-2.29,O=N(=O)c1cccc(c1)N(=O)=O
-4.47,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3
0.94,CN(C)C(=O)N(C)C 
-2.43,CC(C)CBr
-1.01,CC(C)COC=O
-0.7,CCC(O)C(C)C
-2.23,Cc1ccccc1Br
-4.593999999999999,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
-1.16,c2ccc1ocnc1c2
1.09,OCC(O)C(O)C(O)C(O)CO
-2.06,C1C=CCC=C1
-1.21,Cc1ccc(N)cc1
0.3,O=C1CCC(=O)N1
-3.5860000000000003,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O 
0.07,NNc1ccccc1
0.36,Cc1ccncc1C
-8.71,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl 
-0.8,CCCN(=O)=O
-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
-3.54,Clc1ccccc1I
-4.8,CC(C)C(C)C(C)C
-2.12,Sc1ccccc1
-3.62,Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3
-0.46,COC(=O)c1cccnc1 
-3.18,CCC(C)C
